Namespace(conv_layers=3, device=0, dropout=0.0, epochs=100, hidden_dim=256, log_steps=1, lr=0.001, method='gin', mlp_layers=2, runs=10, subset='computer_science')
Run: 01, Epoch: 01, Loss: 0.0450, lr: 0.001000, Train: -1.0048, Valid: -1.1925, Test: -0.8081
Run: 01, Epoch: 02, Loss: 0.0163, lr: 0.001000, Train: -5.1195, Valid: -5.7825, Test: -3.9129
Run: 01, Epoch: 03, Loss: 0.0104, lr: 0.001000, Train: -4.7182, Valid: -4.9639, Test: -3.6113
Run: 01, Epoch: 04, Loss: 0.0074, lr: 0.001000, Train: 0.2239, Valid: 0.4731, Test: 0.3907
Run: 01, Epoch: 05, Loss: 0.0035, lr: 0.001000, Train: -4.0400, Valid: -3.1181, Test: -3.8373
Run: 01, Epoch: 06, Loss: 0.0037, lr: 0.001000, Train: -4.9791, Valid: -3.7685, Test: -4.7100
Run: 01, Epoch: 07, Loss: 0.0031, lr: 0.001000, Train: -2.7974, Valid: -2.0986, Test: -2.7075
Run: 01, Epoch: 08, Loss: 0.0019, lr: 0.001000, Train: 0.0934, Valid: 0.1387, Test: -0.0204
Run: 01, Epoch: 09, Loss: 0.0019, lr: 0.001000, Train: 0.8375, Valid: 0.8580, Test: 0.7838
Run: 01, Epoch: 10, Loss: 0.0020, lr: 0.001000, Train: 0.8736, Valid: 0.8908, Test: 0.8425
Run: 01, Epoch: 11, Loss: 0.0017, lr: 0.001000, Train: 0.8432, Valid: 0.8201, Test: 0.7733
Run: 01, Epoch: 12, Loss: 0.0016, lr: 0.001000, Train: 0.7373, Valid: 0.6743, Test: 0.6384
Run: 01, Epoch: 13, Loss: 0.0017, lr: 0.001000, Train: 0.7071, Valid: 0.6440, Test: 0.6061
Run: 01, Epoch: 14, Loss: 0.0016, lr: 0.001000, Train: 0.7955, Valid: 0.7515, Test: 0.7166
Run: 01, Epoch: 15, Loss: 0.0013, lr: 0.001000, Train: 0.8794, Valid: 0.8683, Test: 0.8364
Run: 01, Epoch: 16, Loss: 0.0011, lr: 0.001000, Train: 0.8953, Valid: 0.9068, Test: 0.8778
Run: 01, Epoch: 17, Loss: 0.0011, lr: 0.001000, Train: 0.8922, Valid: 0.9020, Test: 0.8792
Run: 01, Epoch: 18, Loss: 0.0011, lr: 0.001000, Train: 0.9026, Valid: 0.9061, Test: 0.8846
Run: 01, Epoch: 19, Loss: 0.0010, lr: 0.001000, Train: 0.9113, Valid: 0.9034, Test: 0.8880
Run: 01, Epoch: 20, Loss: 0.0008, lr: 0.001000, Train: 0.9046, Valid: 0.8811, Test: 0.8776
Run: 01, Epoch: 21, Loss: 0.0007, lr: 0.001000, Train: 0.9000, Valid: 0.8637, Test: 0.8702
Run: 01, Epoch: 22, Loss: 0.0007, lr: 0.001000, Train: 0.9156, Valid: 0.8761, Test: 0.8849
Run: 01, Epoch: 23, Loss: 0.0007, lr: 0.000700, Train: 0.9389, Valid: 0.9021, Test: 0.9078
Run: 01, Epoch: 24, Loss: 0.0007, lr: 0.000700, Train: 0.9574, Valid: 0.9241, Test: 0.9270
Run: 01, Epoch: 25, Loss: 0.0006, lr: 0.000700, Train: 0.9665, Valid: 0.9362, Test: 0.9368
Run: 01, Epoch: 26, Loss: 0.0006, lr: 0.000700, Train: 0.9697, Valid: 0.9407, Test: 0.9403
Run: 01, Epoch: 27, Loss: 0.0006, lr: 0.000700, Train: 0.9721, Valid: 0.9412, Test: 0.9409
Run: 01, Epoch: 28, Loss: 0.0006, lr: 0.000700, Train: 0.9749, Valid: 0.9401, Test: 0.9396
Run: 01, Epoch: 29, Loss: 0.0005, lr: 0.000700, Train: 0.9764, Valid: 0.9362, Test: 0.9361
Run: 01, Epoch: 30, Loss: 0.0004, lr: 0.000700, Train: 0.9762, Valid: 0.9305, Test: 0.9316
Run: 01, Epoch: 31, Loss: 0.0004, lr: 0.000700, Train: 0.9760, Valid: 0.9261, Test: 0.9293
Run: 01, Epoch: 32, Loss: 0.0004, lr: 0.000700, Train: 0.9769, Valid: 0.9255, Test: 0.9308
Run: 01, Epoch: 33, Loss: 0.0004, lr: 0.000700, Train: 0.9784, Valid: 0.9276, Test: 0.9350
Run: 01, Epoch: 34, Loss: 0.0004, lr: 0.000490, Train: 0.9793, Valid: 0.9289, Test: 0.9381
Run: 01, Epoch: 35, Loss: 0.0004, lr: 0.000490, Train: 0.9796, Valid: 0.9293, Test: 0.9400
Run: 01, Epoch: 36, Loss: 0.0003, lr: 0.000490, Train: 0.9802, Valid: 0.9297, Test: 0.9406
Run: 01, Epoch: 37, Loss: 0.0003, lr: 0.000490, Train: 0.9817, Valid: 0.9302, Test: 0.9400
Run: 01, Epoch: 38, Loss: 0.0003, lr: 0.000490, Train: 0.9842, Valid: 0.9314, Test: 0.9387
Run: 01, Epoch: 39, Loss: 0.0003, lr: 0.000490, Train: 0.9869, Valid: 0.9327, Test: 0.9368
Run: 01, Epoch: 40, Loss: 0.0003, lr: 0.000343, Train: 0.9886, Valid: 0.9332, Test: 0.9349
Run: 01, Epoch: 41, Loss: 0.0003, lr: 0.000343, Train: 0.9897, Valid: 0.9330, Test: 0.9329
Run: 01, Epoch: 42, Loss: 0.0003, lr: 0.000343, Train: 0.9903, Valid: 0.9329, Test: 0.9310
Run: 01, Epoch: 43, Loss: 0.0003, lr: 0.000343, Train: 0.9906, Valid: 0.9332, Test: 0.9295
Run: 01, Epoch: 44, Loss: 0.0003, lr: 0.000343, Train: 0.9908, Valid: 0.9338, Test: 0.9287
Run: 01, Epoch: 45, Loss: 0.0003, lr: 0.000343, Train: 0.9911, Valid: 0.9350, Test: 0.9286
Run: 01, Epoch: 46, Loss: 0.0003, lr: 0.000240, Train: 0.9914, Valid: 0.9358, Test: 0.9286
Run: 01, Epoch: 47, Loss: 0.0003, lr: 0.000240, Train: 0.9917, Valid: 0.9367, Test: 0.9288
Run: 01, Epoch: 48, Loss: 0.0003, lr: 0.000240, Train: 0.9921, Valid: 0.9374, Test: 0.9289
Run: 01, Epoch: 49, Loss: 0.0002, lr: 0.000240, Train: 0.9923, Valid: 0.9379, Test: 0.9289
Run: 01, Epoch: 50, Loss: 0.0002, lr: 0.000240, Train: 0.9925, Valid: 0.9381, Test: 0.9287
Run: 01, Epoch: 51, Loss: 0.0002, lr: 0.000240, Train: 0.9927, Valid: 0.9380, Test: 0.9283
Run: 01, Epoch: 52, Loss: 0.0002, lr: 0.000168, Train: 0.9928, Valid: 0.9376, Test: 0.9279
Run: 01, Epoch: 53, Loss: 0.0002, lr: 0.000168, Train: 0.9929, Valid: 0.9372, Test: 0.9274
Run: 01, Epoch: 54, Loss: 0.0002, lr: 0.000168, Train: 0.9931, Valid: 0.9367, Test: 0.9269
Run: 01, Epoch: 55, Loss: 0.0002, lr: 0.000168, Train: 0.9932, Valid: 0.9361, Test: 0.9265
Run: 01, Epoch: 56, Loss: 0.0002, lr: 0.000168, Train: 0.9933, Valid: 0.9357, Test: 0.9262
Run: 01, Epoch: 57, Loss: 0.0002, lr: 0.000168, Train: 0.9935, Valid: 0.9354, Test: 0.9260
